Blocks,Seed,TrainingError,TestError
Original,325977,3.788066268552526e6,2.665750003052512e6
Original,549051,3.7989324786828477e6,2.6910266189046474e6
Original,218586,3.8575701276550344e6,2.5946943460743693e6
Original,894246,3.7622909945462216e6,2.699248815646759e6
Original,353111,3.799888020566391e6,2.674015724478038e6
Original,394255,3.7317485075629973e6,2.7372552841927223e6
Original,953125,3.7986943081449373e6,2.6170109104161845e6
Original,795547,3.7576168945493614e6,2.669038489587592e6
Original,494250,3.717223789713991e6,2.745644831556582e6
Original,748415,3.8112701038622437e6,2.7143684524365165e6
Original,578232,3.7677036392002003e6,2.716982729087535e6
Original,727935,3.7913618908043876e6,2.6755658632758027e6
Original,7448,3.751808440897373e6,2.702413775156863e6
Original,199376,3.7714040064441906e6,2.649459243716879e6
Original,439243,3.7922775179773965e6,2.6390191481050006e6
Original,682533,3.759852743125583e6,2.688442452542852e6
Original,956741,3.7703343678757576e6,2.717966074290511e6
Original,647855,3.8078576895364774e6,2.575525723468001e6
Original,996666,3.814495912134397e6,2.651054699247376e6
Original,749194,3.7146538137966543e6,2.6689478112882227e6
Original,110084,3.7350948322124537e6,2.695504524845153e6
Original,491383,3.8346215956633557e6,2.654243516467073e6
Original,565145,3.789365420563642e6,2.714423175755359e6
Original,253812,3.7189218631186597e6,2.695540314287465e6
Original,626794,3.7387192906314787e6,2.646432643306596e6
Original,234104,3.80777573498583e6,2.68351306413292e6
Original,124792,3.728972826063719e6,2.761497737141333e6
Original,609875,3.7757848723401558e6,2.699080291600043e6
Original,672793,3.796980749011627e6,2.7343259075551014e6
Original,761916,3.768051037492752e6,2.7368772213081634e6
Original,588872,3.726799746667005e6,2.7562900281052375e6
Original,365854,3.7683726413925043e6,2.690858098648506e6
Original,131025,3.795193649827826e6,2.68291647681774e6
Original,946454,3.7153309862055685e6,2.743632174979974e6
Original,574324,3.755160166702491e6,2.7331649866829803e6
Original,677650,3.7879232770765265e6,2.648698054175239e6
Original,571586,3.7581582791128336e6,2.674506518159674e6
Original,72716,3.7171303805567855e6,2.756023388515948e6
Original,701116,3.7530920562458513e6,2.6812431392851504e6
Original,95217,3.7706785310926456e6,2.642158295507609e6
Original,845515,3.763927618573169e6,2.702748258180348e6
Original,348995,3.8275771191828004e6,2.6349595891544223e6
Original,768309,3.7198038112748326e6,2.6668680089561827e6
Original,269059,3.745438059242141e6,2.7489980427507395e6
Original,539631,3.7315746512560872e6,2.6433181592452195e6
Original,293905,3.736860216480933e6,2.687543931481407e6
Original,242194,3.722996543615249e6,2.768270133948633e6
Original,978070,3.7870485938859135e6,2.6695069773390843e6
Original,853242,3.8106620331833567e6,2.7064964912877525e6
Original,706065,3.7744033212914974e6,2.6984714983649813e6
Original,442139,3.7158996385056637e6,2.7340133398991525e6
Original,884577,3.803472640306821e6,2.693611765559431e6
Original,520741,3.8201449124125172e6,2.679406109867067e6
Original,941831,3.8878564826253206e6,2.626133488982104e6
Original,810699,3.709436620001702e6,2.709990270743555e6
Original,464848,3.8202818133358327e6,2.593982025297206e6
Original,977013,3.7638969261038275e6,2.7084013621517424e6
Original,500161,3.684552129562354e6,2.7976297816211223e6
Original,715846,3.7820914609040665e6,2.66680174083051e6
Original,189850,3.7523360932055768e6,2.7234343035302386e6
Original,376441,3.7272819235201078e6,2.6753067119455812e6
Original,565864,3.7749861498501524e6,2.7057217121412847e6
Original,172235,3.7584438968270174e6,2.7053603438022733e6
Original,327351,3.775022915488961e6,2.6155650460587824e6
Original,632108,3.7802021024353122e6,2.707868914143797e6
Original,374141,3.7755931375348456e6,2.6698137995429616e6
Original,728543,3.795524426491107e6,2.638091174535024e6
Original,2776,3.7720588014231143e6,2.670876158876311e6
Original,134685,3.795319073689847e6,2.6810356257806746e6
Original,531899,3.785234422556225e6,2.6383247625253634e6
Original,73170,3.7904458485576557e6,2.686610640459582e6
Original,501756,3.7374461028383095e6,2.675906923762579e6
Original,906940,3.782503889341753e6,2.681140750430354e6
Original,116769,3.765742463146409e6,2.6956890021332926e6
Original,367197,3.780252405551022e6,2.663894345604204e6
Original,881164,3.6819548158218684e6,2.75571433047546e6
Original,671891,3.7533184553449107e6,2.687238122365263e6
Original,479862,3.7804344145786054e6,2.677958824958108e6
Original,949969,3.7158431999110365e6,2.694404171079744e6
Original,26233,3.7874754728166005e6,2.6720670202050842e6
Original,347189,3.8184196558675105e6,2.656943163853365e6
Original,819254,3.850843520784881e6,2.6596184324223124e6
Original,792832,3.7334223963900628e6,2.7015561286220946e6
Original,967230,3.7177966286106124e6,2.7162954567636563e6
Original,471452,3.7513414559203223e6,2.727109927134173e6
Original,193780,3.7626282265980123e6,2.65682145775259e6
Original,941781,3.780562152187256e6,2.6913551167119546e6
Original,669388,3.796074192385411e6,2.6571862997112144e6
Original,892109,3.763056794609486e6,2.703398752201345e6
Original,356715,3.7285579440932423e6,2.7494276178335794e6
Original,728948,3.716010383245541e6,2.7100731398545993e6
Original,400910,3.8196788926406577e6,2.6528860950290198e6
Original,314519,3.764548950794939e6,2.652794953313142e6
Original,804720,3.75999799212264e6,2.7212090513593606e6
Original,108778,3.771267897814851e6,2.649571230869715e6
Original,498061,3.7306829521614825e6,2.7510296369363763e6
Original,553733,3.730466915658545e6,2.7469136260188185e6
Original,488934,3.680649681643e6,2.7631401529923533e6
Original,491581,3.810614996032536e6,2.619305271206976e6
Original,932783,3.8460428583066957e6,2.6850016009009555e6
