Seed,TrainingError,TestError
325977,1.1296711893263436e6,1.114283389129146e6
549051,1.1664230516735066e6,1.1371862444171142e6
218586,1.1540102497310159e6,1.1242140213577477e6
894246,1.1892215984284193e6,1.1550887241003043e6
353111,1.1555408629253977e6,1.2257682292682338e6
394255,1.146037910143259e6,1.0975569132673512e6
953125,1.1809958865647744e6,1.1644911943182996e6
795547,1.1392006991996109e6,1.1894308106213254e6
494250,1.1586957531311722e6,1.1440329472454616e6
748415,1.117450509361355e6,1.1246343238216983e6
578232,1.1862821336020548e6,1.1132243317415528e6
727935,1.182188845991455e6,1.1612228921153746e6
7448,1.147610998901674e6,1.209677802265062e6
199376,1.148479021608709e6,1.1415606036080879e6
439243,1.1325089239257476e6,1.1844581987857246e6
682533,1.1532861827639898e6,1.1316220131168624e6
956741,1.1373898762368823e6,1.1712715489297216e6
647855,1.171020802022708e6,1.1925040799424348e6
996666,1.0965916633524904e6,1.152912358536874e6
749194,1.1729564211059355e6,1.1860761728383095e6
110084,1.1304435522652417e6,1.177301622425769e6
491383,1.0877893251456926e6,1.196749231617439e6
565145,1.1789678320069727e6,1.1515820191617478e6
253812,1.144860463536553e6,1.1933670390932471e6
626794,1.1250676852917515e6,1.1818527887068945e6
234104,1.1913470140538858e6,1.1638444336195928e6
124792,1.15611439833077e6,1.1720457554662912e6
609875,1.1537490470442427e6,1.159900208705626e6
672793,1.1335997903791098e6,1.1506167047955832e6
761916,1.2147504937884985e6,1.1264515951065277e6
588872,1.1460441957308426e6,1.137748494391569e6
365854,1.0999153540945265e6,1.1583516971085584e6
131025,1.1217353901173344e6,1.108674643220534e6
946454,1.1367429941542405e6,1.1267913171249623e6
574324,1.161416683428246e6,1.1592294052804648e6
677650,1.1466110163737494e6,1.1743757456651772e6
571586,1.1807334445224772e6,1.1933622214273629e6
72716,1.1654562391765849e6,1.0992783228043155e6
701116,1.1729164553271802e6,1.134884133104043e6
95217,1.1736436378589836e6,1.1845716533900602e6
845515,1.1462050366324955e6,1.1529275962600096e6
348995,1.1587219874474988e6,1.1773507624805109e6
768309,1.1981068390153344e6,1.1565596395047032e6
269059,1.1485386219566225e6,1.175698166668584e6
539631,1.1370323921345605e6,1.1808036766545787e6
293905,1.176471660404547e6,1.1338361414019135e6
242194,1.185774895155558e6,1.1287067494807881e6
978070,1.1114772905653967e6,1.194541771960171e6
853242,1.1697341409677179e6,1.1512390592161347e6
706065,1.1107504465949181e6,1.1797672000827072e6
442139,1.1436100412595747e6,1.1248879421657312e6
884577,1.1468459035566486e6,1.1584183477347293e6
520741,1.1428662748765429e6,1.2073472527912278e6
941831,1.1383615381611234e6,1.1329908055077211e6
810699,1.1083215268342714e6,1.151346512750879e6
464848,1.1115679663252588e6,1.1317106714308779e6
977013,1.160183310016872e6,1.08376064265161e6
500161,1.139131531255531e6,1.1461873208257705e6
715846,1.180614250627103e6,1.165049504515597e6
189850,1.1405303103865273e6,1.157163817694866e6
376441,1.1539961100651661e6,1.1648554842448968e6
565864,1.1155845176130107e6,1.0927840658521622e6
172235,1.1643348046749125e6,1.120688430198176e6
327351,1.1778953341176207e6,1.1865172817321285e6
632108,1.1521359784847216e6,1.1602460833231402e6
374141,1.153236256399395e6,1.16289057543034e6
728543,1.1546213380299946e6,1.1797877540917208e6
2776,1.1600811845366652e6,1.138871392803625e6
134685,1.1364425235019661e6,1.1368887627933307e6
531899,1.1314746520252712e6,1.1597708256820305e6
73170,1.1596383094985383e6,1.127893698819445e6
501756,1.138750833475357e6,1.1655077433952691e6
906940,1.1575385328863002e6,1.1749032332791807e6
116769,1.1519604566922456e6,1.1196393333020424e6
367197,1.1653845370217548e6,1.116562688555522e6
881164,1.192724947914093e6,1.1591269380885225e6
671891,1.1665590418473715e6,1.1518667337402855e6
479862,1.1977068129807957e6,1.142540556058796e6
949969,1.1735593416571124e6,1.141138491495708e6
26233,1.1391735219757294e6,1.1619518502048783e6
347189,1.1389694986091633e6,1.2141061850567989e6
819254,1.1983193801164764e6,1.1261542998758473e6
792832,1.1641483165100096e6,1.1567208984601437e6
967230,1.1556944724815357e6,1.166504804641297e6
471452,1.1723450953739032e6,1.1441845004078983e6
193780,1.1581327946085185e6,1.1518980613859547e6
941781,1.1685955451953174e6,1.1731799132867907e6
669388,1.109394949004917e6,1.1630720750913084e6
892109,1.1397228636848505e6,1.1768407568403515e6
356715,1.140489674162698e6,1.1749123943420523e6
728948,1.1555806363870664e6,1.1319441442484816e6
400910,1.1601383552578338e6,1.122281981852997e6
314519,1.1391022676447104e6,1.1619663136037544e6
804720,1.129390290134702e6,1.169850720611715e6
108778,1.1554700245706358e6,1.166860033258772e6
498061,1.143791078295623e6,1.1705296488528945e6
553733,1.174483725321361e6,1.148800058043256e6
488934,1.1575855637320653e6,1.1672092791856409e6
491581,1.155817932935604e6,1.1631913591532616e6
932783,1.136047914345121e6,1.1465044399740975e6
